Browser: Firefox 36beta2
Platform: xubuntu 14.04.1
Keyboard: US

(without modifiers)
==== keydown event ==================================    ==== keypress event =================================
key               keyCode  which  charCode  modifiers    key               keyCode  which  charCode  modifiers
p                      80     80         0          c    p                       0    112       112          c	
q                      81     81         0          c    q                       0    113       113          c	
r                      82     82         0          c    r                       0    114       114          c	
s                      83     83         0          c    s                       0    115       115          c	
t                      84     84         0          c    t                       0    116       116          c	
u                      85     85         0          c    u                       0    117       117          c	
v                      86     86         0          c    v                       0    118       118          c	
w                      87     87         0          c    w                       0    119       119          c	
x                      88     88         0          c    x                       0    120       120          c	
y                      89     89         0          c    y                       0    121       121          c	
z                      90     90         0          c    z                       0    122       122          c	
-                     173    173         0          c    -                       0     45        45          c	
,                     188    188         0          c    ,                       0     44        44          c	
.                     190    190         0          c    .                       0     46        46          c	
/                     191    191         0          c    /                       0     47        47          c	
`                     192    192         0          c    `                       0     96        96          c	
[                     219    219         0          c    [                       0     91        91          c	
\                     220    220         0          c    \                       0     92        92          c	
]                     221    221         0          c    ]                       0     93        93          c	
'                     222    222         0          c    '                       0     39        39          c	
